,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,chapada dos guimaraes,-15.46,-55.75,87.8,38,0,9.17,BR,1592665456
88,hofn,64.25,-15.21,51.26,92,100,10.45,IS,1592665456
89,regina,50.45,-104.62,51.01,87,75,8.05,CA,1592665282
90,bairiki,1.33,172.98,82.4,78,40,4.7,KI,1592665457
91,belmonte,-15.86,-38.88,80.6,61,40,10.29,BR,1592665457
92,fort frances,48.6,-93.4,68.0,67,1,3.36,CA,1592665457
93,arman,59.7,150.17,44.55,93,10,1.28,RU,1592665457
94,vila franca do campo,37.72,-25.43,68.0,77,20,14.99,PT,1592665457
95,mahebourg,-20.41,57.7,73.4,69,75,13.87,MU,1592665457
96,huarmey,-10.07,-78.15,67.53,70,36,8.08,PE,1592665457
97,vredendal,-31.67,18.5,65.46,54,0,11.48,ZA,1592665458
98,port lincoln,-34.73,135.87,56.3,73,78,27.11,AU,1592665458
99,vila velha,-20.33,-40.29,80.6,61,0,12.75,BR,1592665458
100,laguna,38.42,-121.42,63.0,77,5,6.93,US,1592665270
101,nouakchott,18.09,-15.98,84.2,70,0,13.87,MR,1592665458
102,waipawa,-41.41,175.52,54.0,96,100,11.41,NZ,1592665459
103,fairbanks,64.84,-147.72,55.4,93,1,1.25,US,1592665459
104,amurrio,43.05,-3.0,82.0,53,20,8.05,ES,1592665459
105,souillac,-20.52,57.52,73.4,69,75,13.87,MU,1592665459
106,luckenwalde,52.08,13.17,69.8,56,75,11.41,DE,1592665460
107,zurrieq,35.83,14.47,86.0,35,0,18.34,MT,1592665223
108,san lawrenz,36.06,14.2,86.0,35,0,18.34,MT,1592665460
109,beloha,-25.17,45.05,71.04,62,41,12.33,MG,1592665460
110,krasnoarmeysk,51.02,45.7,76.3,56,0,6.31,RU,1592665460
111,nemuro,43.32,145.57,49.26,90,13,9.95,JP,1592665460
112,arlit,18.74,7.39,109.96,6,0,5.06,NE,1592665461
113,bandarbeyla,9.49,50.81,88.36,49,98,25.08,SO,1592665461
114,kentau,43.52,68.51,75.7,19,0,19.04,KZ,1592665461
115,jaru,-10.44,-62.47,83.08,67,37,3.83,BR,1592665461
116,east london,-33.02,27.91,71.6,53,0,11.41,ZA,1592665461
117,awjilah,29.11,21.29,110.19,7,0,7.36,LY,1592665384
118,kishtwar,33.32,75.77,67.12,44,17,4.56,IN,1592665462
119,inhambane,-23.86,35.38,73.4,69,40,9.17,MZ,1592665462
120,hearst,49.68,-83.67,74.55,56,100,4.38,CA,1592665462
121,kahului,20.89,-156.47,73.4,69,1,9.86,US,1592665462
122,rundu,-17.93,19.77,64.4,22,0,8.05,NA,1592665462
123,launceston,-41.45,147.17,46.0,100,75,6.93,AU,1592665379
124,le port,-20.94,55.29,71.6,73,75,20.8,RE,1592665463
125,broome,42.25,-75.83,78.01,73,75,3.91,US,1592665463
126,provideniya,64.38,-173.3,51.49,57,0,6.96,RU,1592665463
127,malanje,-9.54,16.34,80.6,51,40,3.36,AO,1592665463
128,hilo,19.73,-155.09,69.8,83,1,3.36,US,1592665463
129,dogondoutchi,13.64,4.03,102.34,22,0,9.44,NE,1592665463
130,arys,42.43,68.8,86.0,22,0,8.95,KZ,1592665464
131,berlevag,70.86,29.09,45.73,75,0,4.79,NO,1592665464
132,kutoarjo,-7.72,109.91,60.01,56,100,2.98,ID,1592665464
133,fortuna,40.6,-124.16,57.99,100,90,4.36,US,1592665464
134,solginskiy,61.05,41.34,57.85,48,0,9.53,RU,1592665464
135,cabo san lucas,22.89,-109.91,89.6,31,5,2.24,MX,1592665464
136,pritzwalk,53.15,12.17,68.0,70,100,1.01,DE,1592665465
137,nuzvid,16.78,80.85,93.2,56,40,5.82,IN,1592665465
138,severo-kurilsk,50.68,156.12,41.72,92,100,17.58,RU,1592665465
139,ribeira grande,38.52,-28.7,69.8,83,40,13.87,PT,1592665465
140,sao filipe,14.9,-24.5,77.18,72,1,15.88,CV,1592665465
141,caborca,30.58,-111.1,86.25,12,0,3.31,MX,1592665465
142,koungou,-12.73,45.2,75.2,83,90,20.8,YT,1592665465
143,acapulco,16.86,-99.89,82.4,78,90,2.24,MX,1592665466
144,ponta do sol,32.67,-17.1,75.2,60,20,16.11,PT,1592665466
145,bengkulu,-3.8,102.27,77.34,88,68,4.88,ID,1592665466
146,pevek,69.7,170.31,44.92,63,55,8.79,RU,1592665466
147,hals,57.0,10.31,61.0,92,100,3.0,DK,1592665466
148,marawi,8.0,124.29,80.01,89,63,3.0,PH,1592665466
149,goderich,43.75,-81.72,80.01,66,61,6.2,CA,1592665239
150,yaviza,8.15,-77.69,85.51,68,89,0.83,PA,1592665467
151,west wendover,40.74,-114.07,64.4,36,1,3.36,US,1592665467
152,labuhan,-6.88,112.21,78.78,80,99,7.76,ID,1592665467
153,guymon,36.68,-101.48,68.0,82,40,5.82,US,1592665467
154,urengoy,65.97,78.37,48.36,73,100,3.65,RU,1592665467
155,beringovskiy,63.05,179.32,45.9,57,94,3.69,RU,1592665467
156,lahat,-3.8,103.53,73.49,93,98,2.73,ID,1592665468
157,vestmannaeyjar,63.44,-20.27,50.0,93,90,24.16,IS,1592665468
158,pahrump,36.21,-115.98,82.0,15,24,1.01,US,1592665468
159,carnarvon,-24.87,113.63,66.2,88,0,10.29,AU,1592665468
160,kavieng,-2.57,150.8,83.25,73,61,6.8,PG,1592665468
161,tautira,-17.73,-149.15,77.0,83,93,10.18,PF,1592665468
162,yellowknife,62.46,-114.35,68.0,54,20,17.22,CA,1592665268
163,petropavlovsk-kamchatskiy,53.05,158.65,42.8,100,90,2.24,RU,1592665451
164,puerto penasco,31.32,-113.53,79.0,69,0,8.01,MX,1592665469
165,pitea,65.32,21.48,66.2,39,0,6.93,SE,1592665469
166,zhigansk,66.77,123.37,65.34,45,0,3.24,RU,1592665469
167,lavrentiya,65.58,-171.0,44.29,70,0,11.79,RU,1592665469
168,chuy,-33.7,-53.46,60.66,80,33,2.39,UY,1592665469
169,merauke,-8.47,140.33,77.25,84,29,16.58,ID,1592665469
170,bambous virieux,-20.34,57.76,73.4,69,75,13.87,MU,1592665470
171,takoradi,4.88,-1.76,80.53,77,61,10.54,GH,1592665470
172,bilma,18.69,12.92,107.24,7,0,5.64,NE,1592665470
173,tuatapere,-46.13,167.68,39.0,83,65,3.0,NZ,1592665470
174,vaini,-21.2,-175.2,73.4,88,20,6.93,TO,1592665470
175,iqaluit,63.75,-68.51,39.2,80,75,5.82,CA,1592665470
176,aksarka,66.56,67.8,51.44,54,100,17.38,RU,1592665470
177,hamilton,39.18,-84.53,84.99,54,20,6.93,US,1592665230
178,balsas,-7.53,-46.04,88.27,46,0,10.11,BR,1592665471
179,vostok,46.49,135.88,45.91,100,63,4.25,RU,1592665471
180,tasiilaq,65.61,-37.64,48.2,66,75,19.46,GL,1592665384
181,dunedin,-45.87,170.5,43.0,94,81,1.01,NZ,1592665384
182,moose factory,51.26,-80.61,60.8,87,90,4.7,CA,1592665471
183,saldanha,-33.01,17.94,68.0,64,7,6.93,ZA,1592665471
184,hvolsvollur,63.75,-20.22,60.01,93,90,24.16,IS,1592665472
185,asau,46.43,26.4,66.99,78,75,2.73,RO,1592665472
186,alofi,-19.06,-169.92,75.2,78,100,8.05,NU,1592665385
187,saskylakh,71.92,114.08,73.99,41,100,6.13,RU,1592665472
188,salym,60.06,71.48,51.64,86,100,6.96,RU,1592665472
189,walvis bay,-22.96,14.51,87.8,14,76,11.41,NA,1592665472
190,olinda,-8.01,-34.86,84.2,66,40,17.22,BR,1592665267
191,nantucket,41.28,-70.1,66.2,88,1,12.75,US,1592665473
192,ascension,30.22,-90.9,84.0,61,1,3.18,US,1592665473
193,lata,40.16,-8.33,82.0,47,0,11.88,PT,1592665473
194,talnakh,69.49,88.4,55.4,93,75,22.37,RU,1592665473
195,chapais,49.78,-74.85,75.2,60,90,4.7,CA,1592665473
196,torbay,47.67,-52.73,46.0,100,90,13.87,CA,1592665287
197,ahipara,-35.17,173.17,54.03,87,73,7.29,NZ,1592665474
198,biaora,23.87,76.92,80.8,64,100,10.27,IN,1592665474
199,hualmay,-11.1,-77.61,66.07,71,67,8.43,PE,1592665474
200,iturama,-19.73,-50.2,82.49,47,0,9.04,BR,1592665474
201,izhma,65.01,53.91,41.27,93,100,15.52,RU,1592665474
202,sept-iles,50.2,-66.38,59.0,77,75,6.93,CA,1592665474
203,fare,-16.7,-151.02,79.84,79,100,7.99,PF,1592665475
204,sao joao da barra,-21.64,-41.05,80.6,61,0,6.93,BR,1592665475
205,rocha,-34.48,-54.33,61.02,69,33,5.44,UY,1592665475
206,altamira,-3.2,-52.21,86.0,70,40,4.7,BR,1592665193
207,huilong,31.81,121.66,71.01,92,100,7.74,CN,1592665475
208,leeton,-34.57,146.4,48.2,100,90,4.83,AU,1592665475
209,batagay-alyta,67.8,130.41,66.15,40,2,1.39,RU,1592665475
210,cabedelo,-6.98,-34.83,84.2,66,75,18.34,BR,1592665409
211,melilla,35.29,-2.94,82.4,57,0,5.82,ES,1592665476
212,nagato,34.38,131.2,69.8,83,20,8.05,JP,1592665476
213,ullapool,57.9,-5.16,66.0,66,97,1.99,GB,1592665476
214,bedesa,8.9,40.78,73.83,58,100,5.14,ET,1592665476
215,moshupa,-24.78,25.42,68.0,29,0,4.7,BW,1592665476
216,sergeyevka,53.88,67.42,62.98,55,93,12.88,KZ,1592665476
217,itamaraca,-7.75,-34.83,84.2,66,40,17.22,BR,1592665477
218,byron bay,-28.65,153.62,54.0,93,3,5.7,AU,1592665477
219,antalaha,-14.9,50.28,74.43,91,100,11.83,MG,1592665477
220,ferrol,43.48,-8.24,75.0,61,29,5.99,ES,1592665477
221,turukhansk,65.82,87.98,50.68,61,100,11.39,RU,1592665477
222,lang son,21.83,106.73,77.49,91,13,4.5,VN,1592665477
223,san cristobal,7.77,-72.22,80.6,69,75,4.7,VE,1592665346
224,kiri buru,22.08,85.35,81.28,76,55,2.59,IN,1592665478
225,bathsheba,13.22,-59.52,84.2,83,75,19.46,BB,1592665478
226,kruisfontein,-34.0,24.73,60.8,79,5,5.5,ZA,1592665478
227,westport,41.14,-73.36,82.0,73,1,8.05,US,1592665478
228,kuusamo,65.97,29.18,62.6,42,30,3.36,FI,1592665479
229,luderitz,-26.65,15.16,77.0,23,0,8.05,NA,1592665479
230,alta floresta,-9.88,-56.09,87.8,48,31,8.05,BR,1592665479
231,vanimo,-2.67,141.3,79.18,83,95,4.34,PG,1592665479
232,tromso,69.65,18.96,55.4,58,22,4.7,NO,1592665479
233,reigate,51.24,-0.21,73.99,63,40,8.05,GB,1592665425
234,kedrovka,55.53,86.05,50.0,76,99,4.47,RU,1592665480
235,klaksvik,62.23,-6.59,57.2,87,63,11.41,FO,1592665480
236,egvekinot,66.32,-179.17,49.08,56,4,1.57,RU,1592665480
237,kattivakkam,13.22,80.32,89.6,66,90,9.17,IN,1592665480
238,sangin,32.07,64.84,94.03,8,0,8.68,AF,1592665480
239,mitsamiouli,-11.38,43.28,76.35,81,100,15.35,KM,1592665480
240,lucapa,-8.42,20.74,86.31,19,0,3.29,AO,1592665446
241,agaro,7.85,36.65,70.02,83,64,1.57,ET,1592665481
242,sanming,26.25,117.62,80.55,69,100,3.13,CN,1592665481
243,ust-barguzin,53.45,108.98,48.99,81,48,1.1,RU,1592665481
244,margate,51.38,1.39,71.01,58,8,4.0,GB,1592665383
245,palmer,42.16,-72.33,84.99,57,20,3.36,US,1592665481
246,olafsvik,64.89,-23.71,51.1,86,99,8.12,IS,1592665482
247,kargasok,59.06,80.86,49.01,62,41,5.86,RU,1592665482
248,summerville,33.02,-80.18,80.01,78,1,5.3,US,1592665203
249,babai,22.7,77.93,76.51,84,100,12.08,IN,1592665482
250,saint-joseph,-21.37,55.62,71.6,68,61,5.82,RE,1592665482
251,amga,60.9,131.96,62.22,59,100,5.79,RU,1592665482
252,bull savanna,17.89,-77.59,84.18,66,0,13.06,JM,1592665483
253,qeshm,26.96,56.27,96.8,56,40,11.41,IR,1592665369
254,tabat,-2.63,115.23,73.85,96,79,1.25,ID,1592665483
255,kloulklubed,7.04,134.26,78.8,94,75,9.51,PW,1592665483
256,janauba,-15.8,-43.31,82.76,35,72,10.69,BR,1592665483
257,gigmoto,13.78,124.39,81.41,76,0,4.14,PH,1592665483
258,dauphin,51.15,-100.05,51.8,87,75,6.93,CA,1592665484
259,killybegs,54.63,-8.45,64.4,59,75,18.34,IE,1592665484
260,flinders,-34.58,150.86,61.0,81,54,1.01,AU,1592665484
261,kaitangata,-46.28,169.85,43.0,86,88,1.99,NZ,1592665484
262,ust-kuyga,70.02,135.6,74.97,42,88,5.01,RU,1592665484
263,sapa,5.15,120.32,82.33,74,47,2.44,PH,1592665484
264,victoria,22.29,114.16,84.0,74,44,5.99,HK,1592665203
265,catamarca,-28.47,-65.79,69.01,56,0,3.0,AR,1592665485
266,roald,62.58,6.13,70.0,64,97,8.05,NO,1592665485
267,maldonado,-34.67,-54.92,62.01,93,75,4.7,UY,1592665485
268,aswan,24.09,32.91,101.97,8,0,13.27,EG,1592665485
269,rush,53.52,-6.09,64.4,59,75,12.75,IE,1592665485
270,shellbrook,53.22,-106.4,44.6,87,90,5.82,CA,1592665486
271,ilulissat,69.22,-51.1,46.4,58,5,5.82,GL,1592665415
272,sur,22.57,59.53,90.57,56,90,16.51,OM,1592665486
273,cancun,21.17,-86.85,86.0,74,75,9.17,MX,1592665486
274,srednekolymsk,67.45,153.68,71.47,38,31,5.95,RU,1592665486
275,jalu,29.03,21.55,109.92,7,0,6.31,LY,1592665487
276,hastings,50.86,0.57,70.0,53,48,1.99,GB,1592665272
277,waw,7.7,28.0,82.98,65,93,6.4,SS,1592665487
278,tamiahua,21.27,-97.45,84.25,72,0,2.13,MX,1592665487
279,dikson,73.51,80.55,37.0,80,33,16.24,RU,1592665487
280,zomba,-15.39,35.32,63.79,65,77,5.28,MW,1592665487
281,hervey bay,-25.3,152.85,62.01,93,77,5.01,AU,1592665488
282,maceio,-9.67,-35.74,82.4,61,75,17.22,BR,1592665488
283,liuli,-11.08,34.63,71.96,68,24,11.14,TZ,1592665488
284,mayo,38.89,-76.51,78.01,88,90,9.17,US,1592665488
285,leningradskiy,69.38,178.42,41.04,71,86,7.07,RU,1592665488
286,nakhon phanom,17.41,104.78,80.78,81,76,1.36,TH,1592665488
287,yining,29.04,114.56,75.09,93,100,1.54,CN,1592665489
288,alice springs,-23.7,133.88,46.4,52,0,5.68,AU,1592665429
289,entre rios,-11.94,-38.08,80.83,62,15,11.3,BR,1592665489
290,bonavista,48.65,-53.11,43.12,84,72,11.63,CA,1592665489
291,clyde river,70.47,-68.59,37.4,86,20,10.29,CA,1592665489
292,bosaso,11.28,49.18,93.54,45,32,1.52,SO,1592665489
293,groningen,53.25,6.75,70.0,56,20,10.29,NL,1592665198
294,bengbu,32.94,117.36,70.25,94,100,8.05,CN,1592665490
295,smithers,54.78,-127.17,55.4,100,90,4.7,CA,1592665490
296,pingliang,35.54,106.69,66.56,72,69,5.79,CN,1592665490
297,barrow,71.29,-156.79,32.0,92,90,12.75,US,1592665491
298,nioro,13.35,-15.75,100.85,33,49,3.33,GM,1592665491
299,ariquemes,-9.91,-63.04,86.94,54,4,3.8,BR,1592665284
300,kirakira,-10.45,161.92,78.6,82,100,10.0,SB,1592665491
301,padang,-0.95,100.35,78.48,77,100,4.9,ID,1592665491
302,banos,-1.4,-78.42,66.2,93,90,3.36,EC,1592665492
303,divnogorsk,55.96,92.36,53.6,93,75,11.18,RU,1592665492
304,mehamn,71.04,27.85,47.14,69,0,6.29,NO,1592665383
305,lazaro cardenas,17.96,-102.2,85.03,52,44,2.51,MX,1592665201
306,severnyy,50.68,36.55,86.0,37,3,13.42,RU,1592665492
307,maiduguri,11.85,13.16,101.39,20,9,4.76,NG,1592665493
308,hobyo,5.35,48.53,81.12,67,7,30.78,SO,1592665493
309,pangody,65.85,74.49,54.07,50,61,9.51,RU,1592665493
310,awbari,26.59,12.78,105.78,7,0,6.64,LY,1592665493
311,kavaratti,10.57,72.64,84.0,76,100,17.4,IN,1592665493
312,saint george,37.1,-113.58,75.99,14,1,9.17,US,1592665194
313,aripuana,-9.17,-60.63,88.0,45,100,4.23,BR,1592665493
314,ende,-8.84,121.66,76.6,79,91,4.97,ID,1592665494
315,samarai,-10.62,150.67,78.89,85,15,12.97,PG,1592665494
316,shenjiamen,29.96,122.3,69.49,94,100,5.12,CN,1592665494
317,salistea de sus,47.65,24.35,66.2,82,27,4.7,RO,1592665494
318,pokosnoye,55.53,101.05,56.07,87,0,2.1,RU,1592665494
319,pemba,-12.97,40.52,80.6,65,75,19.46,MZ,1592665494
320,muhororo,0.94,30.76,74.77,68,84,3.89,UG,1592665495
321,winnemucca,40.97,-117.74,64.99,42,100,4.09,US,1592665495
322,lypnyazhka,48.45,31.08,78.03,65,26,7.92,UA,1592665495
323,muros,42.78,-9.06,66.0,84,23,15.01,ES,1592665495
324,kissidougou,9.18,-10.1,82.38,73,71,0.47,GN,1592665495
325,katsuura,35.13,140.3,73.0,88,100,4.61,JP,1592665496
326,kaeo,-35.1,173.78,53.01,3,94,1.99,NZ,1592665496
327,okhotsk,59.38,143.3,46.98,89,100,5.08,RU,1592665496
328,husavik,66.04,-17.34,66.2,52,20,11.41,IS,1592665496
329,jacqueville,5.21,-4.41,82.4,78,75,10.29,CI,1592665496
330,naze,28.37,129.48,75.2,94,75,3.36,JP,1592665496
331,zeya,53.75,127.27,55.45,93,100,3.91,RU,1592665496
332,ornskoldsvik,63.29,18.72,68.0,37,68,9.17,SE,1592665212
333,oktyabrskiy,54.48,53.47,69.71,79,0,6.78,RU,1592665497
334,vicuna,-30.03,-70.71,63.0,41,32,2.13,CL,1592665497
335,cabra,37.47,-4.44,93.99,23,0,10.22,ES,1592665497
336,abu samrah,35.3,37.18,81.95,36,15,21.41,SY,1592665497
337,nikolayevsk-na-amure,53.14,140.73,42.64,92,73,2.68,RU,1592665497
338,auki,-8.77,160.7,77.41,84,68,5.48,SB,1592665498
339,yar-sale,66.83,70.83,51.37,49,67,19.04,RU,1592665498
340,lufilufi,-13.87,-171.6,73.4,100,75,3.36,WS,1592665498
341,aksum,14.12,38.72,73.42,52,38,13.24,ET,1592665498
342,voznesenye,61.01,35.48,59.45,55,0,10.18,RU,1592665498
343,doha,25.29,51.53,98.01,66,0,8.05,QA,1592665450
344,ciudad bolivar,8.12,-63.55,87.42,58,34,9.86,VE,1592665499
345,vardo,70.37,31.11,50.0,66,8,10.29,NO,1592665499
346,taganak,6.08,118.3,80.6,88,20,2.24,PH,1592665499
347,ribeira brava,32.65,-17.07,75.2,60,20,16.11,PT,1592665499
348,rincon,32.3,-81.24,84.0,65,40,2.26,US,1592665456
349,busko-zdroj,50.47,20.72,73.99,1,99,7.56,PL,1592665500
350,puquio,-14.7,-74.13,61.39,37,10,2.8,PE,1592665500
351,kousseri,12.08,15.03,101.75,21,0,4.88,CM,1592665500
352,catuday,16.29,119.81,83.1,68,100,2.66,PH,1592665500
353,portland,45.52,-122.68,66.2,72,90,3.36,US,1592664975
354,macarthur,10.83,125.0,79.39,83,34,0.65,PH,1592665500
355,nuuk,64.18,-51.72,42.8,81,40,6.93,GL,1592665501
356,taltal,-25.4,-70.48,69.42,42,0,4.47,CL,1592665501
357,nerchinskiy zavod,51.31,119.61,52.84,68,63,4.12,RU,1592665501
358,orange cove,36.62,-119.31,73.4,49,1,3.36,US,1592665501
359,daru,-9.08,143.21,77.49,86,88,14.81,PG,1592665501
360,nikolskoye,59.7,30.79,64.4,48,100,11.18,RU,1592665501
361,salisbury,51.07,-1.8,66.99,72,18,14.99,GB,1592665502
362,kidal,18.44,1.41,112.14,6,0,16.55,ML,1592665502
363,paamiut,61.99,-49.67,39.6,80,41,24.45,GL,1592665502
364,cuxhaven,53.87,8.69,71.01,68,75,12.75,DE,1592665502
365,grand gaube,-20.01,57.66,73.0,74,35,10.0,MU,1592665502
366,puerto ayacucho,5.66,-67.62,82.4,74,40,0.6,VE,1592665502
367,oistins,13.07,-59.53,84.2,83,75,19.46,BB,1592665338
368,varkaus,62.32,27.87,68.0,42,8,8.05,FI,1592665503
369,carballo,43.21,-8.69,73.99,10,11,5.99,ES,1592665503
370,tyrma,50.08,132.17,52.5,92,100,5.23,RU,1592665503
371,cap malheureux,-19.98,57.61,73.0,74,24,10.0,MU,1592665503
372,rohtak,28.9,76.57,87.8,55,75,5.82,IN,1592665503
373,pucallpa,-8.38,-74.55,82.4,74,75,3.36,PE,1592665503
374,magadi,12.97,77.23,86.0,65,40,10.29,IN,1592665503
375,ramhormoz,31.28,49.6,111.2,5,0,24.16,IR,1592665504
376,san carlos de bariloche,-41.15,-71.31,35.6,100,75,3.36,AR,1592665504
377,saint-ambroise,48.55,-71.33,75.0,60,20,16.11,CA,1592665504
378,isangel,-19.55,169.27,71.58,79,37,13.53,VU,1592665504
379,mao,39.89,4.27,75.2,78,40,9.17,ES,1592665505
380,tazovskiy,67.47,78.7,45.54,82,94,9.15,RU,1592665505
381,verkhoyansk,67.54,133.38,72.72,36,0,3.18,RU,1592665505
382,majene,-3.54,118.97,77.67,86,95,9.44,ID,1592665505
383,caravelas,-17.71,-39.25,79.56,59,57,6.6,BR,1592665505
384,nova londrina,-22.77,-52.98,77.54,55,0,11.61,BR,1592665258
385,saint-pierre,-21.34,55.48,71.6,68,34,5.82,RE,1592665506
