,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,santander,43.46,-3.8,15.56,87,0,1.45,ES,1592618742
89,prattville,32.46,-86.46,28.0,83,1,1.5,US,1592618811
90,san lawrenz,36.06,14.2,22.0,88,20,5.1,MT,1592618811
91,bluff,-46.6,168.33,8.45,78,94,5.02,NZ,1592618811
92,chuy,-33.7,-53.46,12.47,92,97,2.91,UY,1592618811
93,tuktoyaktuk,69.45,-133.04,8.0,75,90,5.1,CA,1592618812
94,kasongo,-4.45,26.67,21.72,65,52,0.87,CD,1592618812
95,ballina,-28.87,153.57,18.89,72,90,3.6,AU,1592618812
96,cidreira,-30.18,-50.21,18.7,93,89,2.78,BR,1592618812
97,srednekolymsk,67.45,153.68,30.99,20,74,6.21,RU,1592618812
98,caravelas,-17.71,-39.25,22.35,89,16,2.29,BR,1592618812
99,mar del plata,-38.0,-57.56,13.33,93,0,4.1,AR,1592618698
100,qaanaaq,77.48,-69.36,1.63,82,100,0.85,GL,1592618813
101,rumonge,-3.97,29.44,21.2,69,39,1.48,BI,1592618813
102,guerrero negro,27.98,-114.06,18.7,75,0,8.37,MX,1592618813
103,kodiak,57.79,-152.41,12.0,71,75,5.7,US,1592618814
104,cururupu,-1.83,-44.87,23.37,96,1,1.32,BR,1592618814
105,kaka,37.35,59.61,26.89,16,0,3.76,TM,1592618814
106,upernavik,72.79,-56.15,4.09,72,34,3.17,GL,1592618814
107,ribeira grande,38.52,-28.7,18.28,87,97,7.74,PT,1592618814
108,constitucion,-35.33,-72.42,12.1,93,96,2.88,CL,1592618815
109,lasa,46.62,10.7,8.0,81,40,3.6,IT,1592618815
110,churapcha,62.0,132.43,24.29,43,64,1.17,RU,1592618815
111,sitka,57.05,-135.33,13.0,93,90,1.5,US,1592618815
112,arraial do cabo,-22.97,-42.03,22.42,82,0,4.59,BR,1592618816
113,porto novo,6.5,2.6,24.74,89,100,2.49,BJ,1592618531
114,salinopolis,-0.61,-47.36,25.74,87,51,4.8,BR,1592618816
115,yellowknife,62.46,-114.35,24.0,23,20,6.2,CA,1592618805
116,lulea,65.58,22.15,14.0,62,29,2.1,SE,1592618816
117,portland,45.52,-122.68,29.0,32,90,2.1,US,1592618757
118,cherskiy,68.75,161.3,28.07,25,5,2.82,RU,1592618817
119,bambous virieux,-20.34,57.76,22.0,68,40,6.7,MU,1592618817
120,nalchiti,22.63,90.28,30.36,73,63,4.49,BD,1592618817
121,vardo,70.37,31.11,6.57,76,100,7.22,NO,1592618817
122,carnarvon,-24.87,113.63,19.0,55,0,3.1,AU,1592618818
123,chupa,66.27,33.05,8.42,70,5,2.33,RU,1592618818
124,jequitinhonha,-16.43,-41.0,19.91,88,19,1.21,BR,1592618818
125,clyde river,70.47,-68.59,1.0,73,1,6.2,CA,1592618818
126,margate,51.38,1.39,13.33,84,100,1.79,GB,1592618818
127,hasaki,35.73,140.83,28.33,61,75,1.5,JP,1592618818
128,naze,28.37,129.48,26.0,83,75,1.5,JP,1592618819
129,nang rong,14.64,102.79,29.44,88,100,2.6,TH,1592618819
130,fare,-16.7,-151.02,27.28,75,6,1.69,PF,1592618674
131,kapaa,22.08,-159.32,28.0,69,75,8.2,US,1592618819
132,dharchula,29.85,80.53,23.01,60,2,1.45,IN,1592618819
133,olinda,-8.01,-34.86,27.0,74,40,5.7,BR,1592618820
134,torbay,47.67,-52.73,6.67,100,90,3.1,CA,1592618820
135,andra,62.51,65.89,11.42,56,100,4.15,RU,1592618820
136,pisco,-13.7,-76.22,17.22,88,0,5.1,PE,1592618658
137,thompson,55.74,-97.86,9.0,87,90,3.1,CA,1592618820
138,conde,-7.26,-34.91,24.0,94,27,2.1,BR,1592618821
139,caxito,-8.58,13.66,24.0,88,75,1.5,AO,1592618821
140,brooks,50.58,-111.89,20.0,43,30,3.06,CA,1592618821
141,dikson,73.51,80.55,2.43,83,0,1.28,RU,1592618821
142,varkaus,62.32,27.87,14.44,87,20,3.1,FI,1592618822
143,kandrian,-6.22,149.55,27.94,82,58,3.73,PG,1592618822
144,atuona,-9.8,-139.03,26.87,75,75,5.95,PF,1592618822
145,homer,59.64,-151.55,14.0,54,40,4.1,US,1592618822
146,green river,41.53,-109.47,20.0,19,1,4.6,US,1592618823
147,cauquenes,-35.97,-72.32,9.13,90,98,1.98,CL,1592618823
148,hermanus,-34.42,19.23,11.67,96,60,3.33,ZA,1592618823
149,dongsheng,39.82,109.98,25.12,37,1,6.53,CN,1592618824
150,egvekinot,66.32,-179.17,16.38,33,0,1.62,RU,1592618824
151,lethem,3.38,-59.8,24.57,87,75,2.71,GY,1592618824
152,dakoro,14.51,6.76,29.77,51,0,7.11,NE,1592618825
153,nelson bay,-32.72,152.15,18.33,77,9,3.6,AU,1592618825
154,zharkovskiy,55.85,32.27,17.62,94,93,0.55,RU,1592618825
155,san patricio,19.22,-104.7,29.0,74,5,4.1,MX,1592618825
156,hervey bay,-25.3,152.85,20.0,83,65,3.13,AU,1592618826
157,lata,40.16,-8.33,15.56,85,0,1.23,PT,1592618826
158,sorland,67.67,12.69,11.23,70,8,7.65,NO,1592618826
159,souillac,-20.52,57.52,22.0,68,40,6.7,MU,1592618826
160,vilyuysk,63.76,121.62,26.53,37,0,3.05,RU,1592618826
161,komsomolskiy,40.43,71.72,22.0,33,0,4.1,UZ,1592618827
162,tarecuato,19.85,-102.48,18.54,85,94,1.84,MX,1592618827
163,cahul,45.91,28.19,18.66,81,95,2.57,MD,1592618827
164,charters towers,-20.1,146.27,22.13,62,66,5.52,AU,1592618827
165,wynyard,-41.0,145.72,10.56,91,100,2.24,AU,1592618827
166,codrington,-38.27,141.97,13.99,66,30,6.19,AU,1592618828
167,walvis bay,-22.96,14.51,21.0,22,0,2.1,NA,1592618828
168,saint anthony,45.02,-93.22,23.33,49,1,2.6,US,1592618828
169,ponta do sol,32.67,-17.1,21.0,68,75,5.7,PT,1592618829
170,esperance,-33.87,121.9,10.0,93,90,2.6,AU,1592618829
171,zhengjiatun,43.51,123.51,30.3,40,11,6.69,CN,1592618829
172,huarmey,-10.07,-78.15,17.08,86,55,3.9,PE,1592618829
173,pionerskiy,54.95,20.23,17.0,93,76,2.84,RU,1592618830
174,victoria,22.29,114.16,32.78,66,22,4.92,HK,1592618830
175,tual,-5.67,132.75,26.98,78,99,9.37,ID,1592618830
176,apodi,-5.66,-37.8,23.15,90,10,3.05,BR,1592618830
177,east london,-33.02,27.91,19.57,31,0,4.86,ZA,1592618830
178,pemba,-12.97,40.52,21.0,88,20,3.6,MZ,1592618831
179,lagoa,39.05,-27.98,18.15,88,78,10.2,PT,1592618831
180,pocoes,-14.53,-40.37,17.16,98,43,2.11,BR,1592618831
181,sao jose da tapera,-9.56,-37.38,20.39,97,29,2.28,BR,1592618832
182,leningradskiy,69.38,178.42,8.97,56,0,2.74,RU,1592618832
183,saint-pierre,-21.34,55.48,21.0,64,20,6.2,RE,1592618832
184,mackay,-21.15,149.2,22.22,78,75,6.7,AU,1592618832
185,weiser,44.25,-116.97,28.0,24,1,2.6,US,1592618832
186,ostrovnoy,68.05,39.51,6.27,85,100,9.83,RU,1592618833
