,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,ahuimanu,21.44,-157.84,84.2,62,40,11.41,US,1595887064
88,arraial do cabo,-22.97,-42.03,75.2,64,0,12.75,BR,1595886839
89,bambous virieux,-20.34,57.76,66.99,88,75,3.36,MU,1595887064
90,kieta,-6.22,155.63,82.27,72,100,2.06,PG,1595887064
91,vao,-22.67,167.48,71.55,82,87,22.19,NC,1595887064
92,busayra,30.74,35.61,76.57,48,86,2.17,JO,1595887064
93,veraval,20.9,70.37,83.53,80,79,9.82,IN,1595887065
94,kyzyl-suu,42.34,78.0,56.41,43,0,6.62,KG,1595887065
95,bethel,41.37,-73.41,91.99,46,1,8.05,US,1595887050
96,rzhaksa,52.13,42.03,60.35,77,2,6.49,RU,1595887065
97,coihaique,-45.58,-72.07,41.0,60,20,6.93,CL,1595887065
98,beringovskiy,63.05,179.32,67.64,55,0,3.02,RU,1595887016
99,mosquera,4.71,-74.23,62.6,59,75,12.75,CO,1595886881
100,nador,35.17,-2.93,78.8,83,95,6.93,MA,1595887066
101,boguchany,58.38,97.45,52.47,90,0,2.44,RU,1595887066
102,mataura,-46.19,168.86,39.0,83,100,3.0,NZ,1595887066
103,naze,28.37,129.48,84.2,83,75,10.29,JP,1595887066
104,cabo san lucas,22.89,-109.91,93.2,49,40,5.82,MX,1595887008
105,sistranda,63.73,8.83,63.0,72,57,8.05,NO,1595887067
106,te anau,-45.42,167.72,40.78,82,100,1.03,NZ,1595887067
107,touros,-5.2,-35.46,75.2,83,40,6.93,BR,1595887067
108,puerto escondido,15.85,-97.07,78.8,78,90,5.82,MX,1595887067
109,malabo,3.75,8.78,75.2,100,20,4.7,GQ,1595887067
110,ambovombe,-25.17,46.08,63.5,78,0,4.94,MG,1595887068
111,upernavik,72.79,-56.15,44.92,85,0,5.26,GL,1595887068
112,kaeo,-35.1,173.78,57.99,3,100,8.99,NZ,1595887068
113,kudahuvadhoo,2.67,72.89,82.29,75,94,10.09,MV,1595887068
114,avera,33.19,-82.53,95.0,47,75,8.05,US,1595887068
115,nanyang,32.99,112.53,73.49,94,62,4.14,CN,1595887068
116,kavaratti,10.57,72.64,81.66,82,100,14.0,IN,1595887069
117,los llanos de aridane,28.66,-17.92,73.4,73,75,18.34,ES,1595887069
118,new ulm,44.31,-94.46,81.0,47,1,10.29,US,1595887069
119,pierre,44.37,-100.35,91.4,22,1,11.41,US,1595887030
120,anadyr,64.75,177.48,64.4,72,0,4.47,RU,1595887069
121,dikson,73.51,80.55,39.07,86,68,12.41,RU,1595887069
122,altamira,-3.2,-52.21,87.8,52,20,3.36,BR,1595887069
123,oranjemund,-28.55,16.43,59.0,72,0,3.85,NA,1595887070
124,muncar,-8.43,114.33,74.03,83,97,2.8,ID,1595887070
125,hofn,64.25,-15.21,53.08,63,96,13.73,IS,1595887070
126,kaitangata,-46.28,169.85,48.99,62,100,1.01,NZ,1595887070
127,namibe,-15.2,12.15,66.52,72,0,6.55,AO,1595887070
128,rundu,-17.93,19.77,51.98,41,0,6.02,NA,1595887070
129,ancud,-41.87,-73.82,48.0,87,40,3.36,CL,1595886760
130,goundi,9.36,17.37,74.26,90,74,3.15,TD,1595887071
131,aykhal,66.0,111.5,41.0,86,75,6.71,RU,1595887071
132,porto walter,-8.27,-72.74,84.81,60,77,1.43,BR,1595887010
133,rocha,-34.48,-54.33,46.36,71,39,6.93,UY,1595887054
134,tongliao,43.61,122.27,70.99,75,42,11.03,CN,1595887071
135,novyy urgal,51.07,132.56,70.29,81,0,0.6,RU,1595887071
136,twin falls,42.56,-114.46,89.6,19,1,9.17,US,1595886876
137,georgetown,5.41,100.34,78.8,94,20,9.53,MY,1595887072
138,klaksvik,62.23,-6.59,48.2,87,100,14.99,FO,1595887072
139,tutin,42.99,20.33,57.6,85,0,2.48,RS,1595887072
140,tonj,7.27,28.68,71.17,92,83,4.54,SS,1595887072
141,vitim,59.45,112.56,60.66,91,100,11.14,RU,1595887072
142,bengkulu,-3.8,102.27,73.89,82,80,4.56,ID,1595887072
143,santa isabel do rio negro,-0.41,-65.02,83.61,70,15,1.95,BR,1595887073
144,roald,62.58,6.13,60.01,87,100,6.93,NO,1595887073
145,provideniya,64.38,-173.3,50.0,93,90,6.71,RU,1595887073
146,phan thiet,10.93,108.1,77.77,85,54,3.6,VN,1595886864
147,airai,-8.93,125.41,52.59,92,90,3.36,TL,1595887073
148,odweyne,9.41,45.06,73.89,52,6,14.45,SO,1595887073
149,batagay,67.63,134.63,49.39,83,96,6.13,RU,1595887074
150,thompson,55.74,-97.86,62.6,72,75,13.87,CA,1595886892
151,ornskoldsvik,63.29,18.72,55.4,100,90,4.7,SE,1595887074
152,lafia,8.48,8.52,74.05,95,100,3.38,NG,1595887074
153,sibolga,1.74,98.78,75.38,82,99,2.68,ID,1595887074
154,thinadhoo,0.53,72.93,82.56,74,100,9.69,MV,1595887075
155,owando,-0.48,15.9,75.42,70,12,3.11,CG,1595887075
156,codajas,-3.84,-62.06,83.66,58,60,0.69,BR,1595887075
157,kayerkan,69.35,87.76,51.8,62,45,8.95,RU,1595887075
158,saint-denis,48.92,2.33,75.2,60,40,11.41,FR,1595887075
159,bonavista,48.65,-53.11,56.97,93,88,7.67,CA,1595887075
160,pochutla,15.74,-96.47,84.2,70,90,5.82,MX,1595887076
161,neya,58.3,43.87,57.38,92,0,1.95,RU,1595887076
162,vostok,46.49,135.88,65.53,91,0,1.41,RU,1595887076
163,tokur,53.13,132.9,65.79,91,92,2.33,RU,1595887076
164,skibbereen,51.55,-9.27,57.2,76,40,13.87,IE,1595887076
165,plon,54.17,10.42,64.4,77,94,8.05,DE,1595887076
166,saskylakh,71.92,114.08,45.39,73,43,12.37,RU,1595887076
167,basoko,1.24,23.62,72.36,88,97,2.19,CD,1595887077
168,kloulklubed,7.04,134.26,77.0,88,75,4.7,PW,1595887077
169,inhambane,-23.86,35.38,64.42,80,20,11.92,MZ,1595887077
170,carnarvon,-24.87,113.63,51.8,100,0,5.82,AU,1595887013
171,teodoro sampaio,-22.53,-52.17,73.76,48,100,4.65,BR,1595887078
172,moyale,3.52,39.06,70.83,65,57,14.38,KE,1595887078
173,fort nelson,58.81,-122.7,69.8,46,75,8.05,CA,1595886855
174,wajima,37.4,136.9,75.15,90,100,24.38,JP,1595887078
175,sur,22.57,59.53,87.91,61,0,13.67,OM,1595887078
176,katsuura,35.13,140.3,78.8,100,75,11.41,JP,1595887050
177,erenhot,43.65,111.98,72.88,47,0,7.14,CN,1595887079
178,karangasem,-8.45,115.62,78.8,100,40,12.75,ID,1595887079
179,okahandja,-21.98,16.92,55.4,30,0,4.7,NA,1595887079
180,nanortalik,60.14,-45.24,46.45,95,100,7.4,GL,1595887079
181,shaturtorf,55.57,39.42,59.4,96,25,4.25,RU,1595887079
182,port keats,-14.25,129.55,63.75,31,30,13.65,AU,1595887080
183,korla,41.76,86.15,78.01,86,73,5.01,CN,1595887080
184,konce,41.5,22.39,62.92,80,0,3.0,MK,1595887080
185,beloha,-25.17,45.05,58.32,88,0,3.6,MG,1595887080
186,kedrovyy,56.17,91.82,53.6,93,0,2.53,RU,1595887080
187,souillac,-20.52,57.52,66.2,88,75,3.36,MU,1595887080
188,iracoubo,5.48,-53.2,80.2,80,22,4.54,GF,1595887081
189,nortelandia,-14.45,-56.8,81.41,29,0,3.51,BR,1595887081
190,chabahar,25.29,60.64,84.31,80,2,6.76,IR,1595887081
191,leningradskiy,69.38,178.42,36.5,81,100,9.62,RU,1595887081
192,pa sang,18.53,98.94,75.2,94,75,6.93,TH,1595887082
193,fukue,32.69,128.84,80.58,86,94,13.76,JP,1595887082
194,beder,56.06,10.21,60.8,93,100,3.36,DK,1595887082
195,perth,-31.93,115.83,57.0,93,75,6.93,AU,1595886966
196,alice springs,-23.7,133.88,37.4,69,0,5.82,AU,1595886760
197,sorland,67.67,12.69,57.2,82,75,12.75,NO,1595887083
198,banda aceh,5.56,95.32,77.72,87,100,17.63,ID,1595887083
199,lazarev,52.23,141.51,59.34,92,80,13.94,RU,1595887083
200,vyazemskiy,47.54,134.75,71.91,92,0,2.91,RU,1595887083
201,poum,-20.23,164.02,73.83,80,100,21.74,NC,1595887084
202,qaanaaq,77.48,-69.36,46.33,57,92,2.62,GL,1595887084
203,monte alegre de minas,-18.87,-48.88,73.74,47,16,9.4,BR,1595887084
204,matsusaka,34.57,136.53,77.0,88,90,4.7,JP,1595887084
205,morros,-9.45,-46.3,76.24,40,0,4.94,BR,1595887084
206,petropavlovsk-kamchatskiy,53.05,158.65,62.6,77,30,6.71,RU,1595887085
207,tuktoyaktuk,69.45,-133.04,68.0,52,75,16.11,CA,1595887085
208,horsham,51.06,-0.33,64.4,82,75,11.41,GB,1595887085
209,daru,-9.08,143.21,77.0,88,100,14.61,PG,1595887085
210,tabas,33.6,56.92,91.4,16,0,6.93,IR,1595887085
211,santa fe,-31.63,-60.7,59.0,37,90,3.0,AR,1595887085
212,tubuala,9.52,-79.03,86.0,70,40,8.05,PA,1595887085
213,cidreira,-30.18,-50.21,60.89,95,100,3.18,BR,1595887086
214,kodiak,57.79,-152.41,62.6,63,1,5.82,US,1595887039
215,hay river,60.82,-115.8,69.8,68,75,18.34,CA,1595887086
216,tevaitoa,-16.78,-151.5,79.18,81,99,15.03,PF,1595887086
217,tromso,69.65,18.96,62.6,67,56,19.46,NO,1595887086
218,port hedland,-20.32,118.57,48.2,61,96,2.24,AU,1595887086
219,akyab,20.15,92.9,81.57,84,100,2.62,MM,1595887086
220,sao filipe,14.9,-24.5,75.83,76,85,10.45,CV,1595887037
221,kingaroy,-26.53,151.83,37.4,93,50,3.36,AU,1595887087
222,fortuna,40.6,-124.16,64.99,74,5,3.0,US,1595887018
223,lubana,56.9,26.72,60.46,84,77,2.71,LV,1595887087
224,yellowknife,62.46,-114.35,75.99,60,75,13.87,CA,1595887087
225,jijiga,9.35,42.8,64.44,70,69,18.84,ET,1595887087
226,burdur,37.72,30.29,77.0,44,0,18.34,TR,1595887087
227,talnakh,69.49,88.4,51.8,62,28,8.95,RU,1595887087
228,havre-saint-pierre,50.23,-63.6,68.0,72,90,5.82,CA,1595887088
229,the valley,18.22,-63.06,84.2,83,40,14.99,AI,1595887088
230,matagami,49.75,-77.63,78.8,74,75,4.56,CA,1595887088
231,kavieng,-2.57,150.8,82.83,73,15,7.23,PG,1595887088
232,ihosy,-22.4,46.12,56.32,90,21,7.92,MG,1595887088
233,hithadhoo,-0.6,73.08,81.66,80,100,11.72,MV,1595887088
234,ponta do sol,32.67,-17.1,71.6,64,20,17.22,PT,1595886900
235,castro,-24.79,-50.01,60.89,76,100,5.26,BR,1595886884
236,trat,12.5,102.5,76.98,89,92,1.01,TH,1595887089
237,mountain home,43.13,-115.69,93.2,17,20,12.75,US,1595887089
238,tezu,27.92,96.17,76.59,87,100,1.32,IN,1595887089
239,llanes,43.42,-4.75,70.0,93,29,1.99,ES,1595887090
240,coahuayana,18.73,-103.68,82.4,65,40,11.41,MX,1595887090
241,rovaniemi,66.5,25.72,62.6,59,100,4.7,FI,1595887090
242,les escoumins,48.11,-69.02,71.01,93,91,7.76,CA,1595887090
243,buraydah,26.33,43.98,95.0,34,98,3.36,SA,1595887090
244,weymouth,42.22,-70.94,96.01,36,75,11.41,US,1595887090
245,viedma,-40.81,-63.0,43.0,66,1,3.0,AR,1595886920
246,kabare,-2.47,28.82,60.08,67,42,1.34,CD,1595887091
247,ouesso,1.61,16.05,72.3,87,50,2.35,CG,1595887091
248,ahipara,-35.17,173.17,58.14,68,100,10.27,NZ,1595887091
249,devils lake,48.11,-98.87,78.8,47,75,11.41,US,1595887091
250,lompoc,34.64,-120.46,72.0,60,5,14.99,US,1595887091
251,palauig,15.44,119.9,82.36,73,95,3.13,PH,1595887091
252,shimoda,34.67,138.95,73.99,95,100,14.65,JP,1595887091
253,marsh harbour,26.54,-77.06,83.44,74,26,8.05,BS,1595887092
254,poplar bluff,36.76,-90.39,91.0,55,1,12.75,US,1595887092
255,chokurdakh,70.63,147.92,45.79,63,100,3.06,RU,1595887092
256,tazovskiy,67.47,78.7,50.5,67,49,10.78,RU,1595887092
257,sandy bay,-42.91,147.35,44.6,93,75,5.82,AU,1595886932
258,san andres,12.58,-81.7,87.8,70,20,9.17,CO,1595887092
259,laguna,38.42,-121.42,96.01,26,1,8.05,US,1595887092
260,gikongoro,-2.46,29.57,60.12,63,79,3.94,RW,1595887093
261,east london,-33.02,27.91,58.48,72,15,15.66,ZA,1595887093
262,ilo,-17.64,-71.34,59.99,75,24,3.83,PE,1595887002
263,sao felix do xingu,-6.64,-51.99,78.21,43,0,1.41,BR,1595887093
264,dicabisagan,17.08,122.42,78.78,83,69,3.76,PH,1595887093
265,lagoa,39.05,-27.98,74.21,86,0,4.63,PT,1595887093
266,busilac,16.48,121.12,73.63,81,97,1.01,PH,1595887093
267,bambanglipuro,-7.95,110.28,73.02,88,58,7.81,ID,1595887094
268,canutama,-6.53,-64.38,83.66,56,56,0.63,BR,1595887094
269,porto novo,6.5,2.6,77.0,88,20,11.41,BJ,1595887094
270,okhotsk,59.38,143.3,62.29,79,46,3.6,RU,1595887094
271,dagda,56.1,27.54,63.59,88,97,3.53,LV,1595887094
272,cherskiy,68.75,161.3,45.09,59,38,10.38,RU,1595887094
273,bathsheba,13.22,-59.52,84.2,79,40,13.87,BB,1595887094
274,port augusta,-32.5,137.77,33.8,86,12,4.7,AU,1595887095
275,solwezi,-12.17,26.39,50.61,54,0,4.92,ZM,1595887095
276,itoman,26.12,127.67,82.4,83,20,6.93,JP,1595887095
277,victoria,22.29,114.16,84.99,79,53,5.01,HK,1595887095
278,rio das pedras,-22.84,-47.61,78.8,34,14,6.93,BR,1595887095
279,pacific grove,36.62,-121.92,73.0,68,1,11.41,US,1595887030
280,kaka,37.35,59.61,82.18,20,0,3.29,TM,1595887096
281,general roca,-39.03,-67.58,51.8,37,0,10.29,AR,1595887096
282,masindi,1.67,31.71,64.74,93,77,0.98,UG,1595887096
283,margate,51.38,1.39,64.99,85,76,4.0,GB,1595887096
284,henties bay,-22.12,14.28,61.0,82,0,4.5,NA,1595887051
285,kijang,35.24,129.21,73.4,94,90,2.24,KR,1595887096
286,videira,-27.01,-51.15,60.03,88,33,1.72,BR,1595887096
287,manokwari,-0.87,134.08,76.95,84,100,6.17,ID,1595887097
288,igrim,63.19,64.42,45.99,77,26,3.27,RU,1595887097
289,sao jose da coroa grande,-8.9,-35.15,75.0,77,95,11.21,BR,1595887097
290,belaya gora,68.53,146.42,52.36,57,76,9.19,RU,1595887097
291,mount gambier,-37.83,140.77,35.6,93,24,4.7,AU,1595887097
292,borovsk,55.21,36.49,60.8,87,4,4.47,RU,1595887097
293,baruun-urt,46.68,113.28,58.33,90,2,9.26,MN,1595887098
294,chissamba,-12.17,17.33,54.88,45,0,2.82,AO,1595887098
295,manoel urbano,-8.84,-69.26,83.89,53,24,0.76,BR,1595887098
296,kumluca,36.37,30.29,83.61,53,0,4.23,TR,1595887098
297,santiago del estero,-27.8,-64.26,60.75,37,0,11.63,AR,1595886955
298,athens,37.98,23.72,84.99,32,20,4.7,GR,1595886809
299,saurimo,-9.66,20.39,62.35,43,0,5.44,AO,1595887099
300,roma,43.21,-75.46,82.99,74,20,8.05,US,1595886964
301,sembe,1.65,14.58,71.17,84,3,2.3,CG,1595887099
302,mount isa,-20.73,139.5,51.8,49,0,10.29,AU,1595887099
303,chiplun,17.53,73.52,77.59,87,90,1.32,IN,1595887099
304,houma,29.6,-90.72,84.99,83,40,4.7,US,1595887099
305,senno,59.53,33.92,58.87,92,9,3.98,RU,1595887100
306,svetlyy,54.67,20.13,51.8,100,75,4.76,RU,1595887100
307,darhan,49.49,105.92,59.14,77,0,1.9,MN,1595887100
308,punta alta,-38.88,-62.07,43.11,63,17,13.35,AR,1595887100
309,araioses,-2.89,-41.9,78.35,76,42,9.06,BR,1595887100
310,bend,44.06,-121.32,91.4,14,1,9.17,US,1595886834
311,kosh-agach,50.0,88.67,50.02,82,100,1.5,RU,1595887101
312,sola,-13.88,167.55,80.6,88,90,9.17,VU,1595887101
313,ribeira grande,38.52,-28.7,75.27,84,4,4.54,PT,1595887101
314,meadow lake,34.8,-106.54,84.0,50,75,6.93,US,1595887101
315,pangnirtung,66.15,-65.71,64.4,48,75,16.11,CA,1595887101
316,saint-pierre,-21.34,55.48,68.0,77,99,5.82,RE,1595887101
317,russell,32.35,-85.2,93.2,52,75,11.41,US,1595886979
318,sioux lookout,50.1,-91.92,69.8,64,75,17.22,CA,1595887102
319,zhezkazgan,47.8,67.71,70.68,38,1,9.46,KZ,1595887102
320,vila velha,-20.33,-40.29,77.0,73,0,6.93,BR,1595886888
321,cockburn town,21.46,-71.14,82.56,76,0,18.57,TC,1595886823
322,heemstede,52.35,4.62,66.2,82,40,18.34,NL,1595887102
323,bandarbeyla,9.49,50.81,78.91,77,0,23.76,SO,1595887102
324,megara,38.0,23.35,84.99,37,20,5.82,GR,1595887102
325,acajutla,13.59,-89.83,91.4,52,40,4.12,SV,1595886930
326,nemuro,43.32,145.57,58.26,92,25,6.62,JP,1595887103
327,olafsvik,64.89,-23.71,48.52,74,30,12.59,IS,1595887103
328,ulladulla,-35.35,150.47,57.2,100,75,28.86,AU,1595887103
329,diego de almagro,-26.37,-70.05,62.2,31,0,4.21,CL,1595887103
330,stuttgart,48.78,9.18,70.0,60,46,3.36,DE,1595886828
331,kruisfontein,-34.0,24.73,47.88,76,0,4.59,ZA,1595887103
332,jiwani,25.05,61.74,83.86,81,7,7.16,PK,1595887104
333,vestmannaeyjar,63.44,-20.27,53.19,72,0,23.8,IS,1595887104
334,san cristobal,7.77,-72.22,86.0,58,40,12.75,VE,1595887048
335,hirara,24.8,125.28,80.6,88,40,3.36,JP,1595887104
336,ginda,30.69,78.49,64.74,86,38,2.17,IN,1595887104
